transaction_id,date,customer_id,merchant,category,amount,is_fraud,month,month_name,day_of_week,quarter
TXN_00001,2024-11-23,CUST_0095,Whole Foods,restaurant,70.39,0,11,Nov,Saturday,4
TXN_00002,2024-04-24,CUST_0014,McDonald's,electronics,451.52,0,4,Apr,Wednesday,2
TXN_00003,2024-10-29,CUST_0004,Walmart,restaurant,197.51,0,10,Oct,Tuesday,4
TXN_00004,2024-04-29,CUST_0004,McDonald's,restaurant,136.94,0,4,Apr,Monday,2
TXN_00005,2024-11-28,CUST_0054,Apple Store,online_shopping,25.44,0,11,Nov,Thursday,4
TXN_00006,2024-10-28,CUST_0001,Delta Airlines,ATM_withdrawal,25.44,0,10,Oct,Monday,4
TXN_00007,2024-06-23,CUST_0028,CVS Pharmacy,electronics,8.98,0,6,Jun,Sunday,2
TXN_00008,2024-02-17,CUST_0046,CVS Pharmacy,healthcare,301.68,0,2,Feb,Saturday,1
TXN_00009,2024-01-23,CUST_0069,Walmart,ATM_withdrawal,137.86,0,1,Jan,Tuesday,1
TXN_00010,2024-02-10,CUST_0081,Uber,transfer,184.69,0,2,Feb,Saturday,1
TXN_00011,2024-10-22,CUST_0009,Amazon,restaurant,3.12,0,10,Oct,Tuesday,4
TXN_00012,2024-05-28,CUST_0030,Walmart,ATM_withdrawal,525.53,0,5,May,Tuesday,2
TXN_00013,2024-05-22,CUST_0047,Delta Airlines,transfer,267.96,0,5,May,Wednesday,2
TXN_00014,2024-06-30,CUST_0035,Walmart,travel,35.8,0,6,Jun,Sunday,2
TXN_00015,2024-09-30,CUST_0021,Best Buy,ATM_withdrawal,30.1,0,9,Sep,Monday,3
TXN_00016,2024-05-18,CUST_0082,McDonald's,restaurant,30.39,0,5,May,Saturday,2
TXN_00017,2024-12-16,CUST_0099,Amazon,restaurant,54.41,0,12,Dec,Monday,4
TXN_00018,2024-01-17,CUST_0052,Whole Foods,electronics,111.59,0,1,Jan,Wednesday,1
TXN_00019,2024-04-18,CUST_0073,CVS Pharmacy,restaurant,84.83,0,4,Apr,Thursday,2
TXN_00020,2024-12-01,CUST_0083,Best Buy,travel,51.63,0,12,Dec,Sunday,4
TXN_00021,2024-05-15,CUST_0096,McDonald's,healthcare,141.96,0,5,May,Wednesday,2
TXN_00022,2024-10-26,CUST_0075,Marriott Hotels,transfer,22.54,0,10,Oct,Saturday,4
TXN_00023,2024-04-22,CUST_0018,McDonald's,online_shopping,51.83,0,4,Apr,Monday,2
TXN_00024,2024-02-16,CUST_0015,Delta Airlines,travel,68.44,0,2,Feb,Friday,1
TXN_00025,2024-12-14,CUST_0009,Marriott Hotels,ATM_withdrawal,91.34,0,12,Dec,Saturday,4
TXN_00026,2024-11-01,CUST_0068,Whole Foods,groceries,230.69,0,11,Nov,Friday,4
TXN_00027,2024-12-14,CUST_0088,McDonald's,healthcare,33.41,0,12,Dec,Saturday,4
TXN_00028,2024-11-24,CUST_0038,Marriott Hotels,travel,108.3,0,11,Nov,Sunday,4
TXN_00029,2024-08-20,CUST_0093,Whole Foods,travel,889.97,1,8,Aug,Tuesday,3
TXN_00030,2024-09-16,CUST_0081,Whole Foods,restaurant,7.13,0,9,Sep,Monday,3
TXN_00031,2024-03-19,CUST_0021,McDonald's,groceries,140.3,0,3,Mar,Tuesday,1
TXN_00032,2024-11-02,CUST_0003,Walmart,transfer,28.04,0,11,Nov,Saturday,4
TXN_00033,2024-06-06,CUST_0031,Uber,electronics,10.09,0,6,Jun,Thursday,2
TXN_00034,2024-02-13,CUST_0009,McDonald's,travel,446.05,0,2,Feb,Tuesday,1
TXN_00035,2024-03-06,CUST_0071,Delta Airlines,healthcare,505.59,0,3,Mar,Wednesday,1
TXN_00036,2024-09-27,CUST_0055,Apple Store,restaurant,247.85,0,9,Sep,Friday,3
TXN_00037,2024-12-31,CUST_0086,CVS Pharmacy,online_shopping,54.49,0,12,Dec,Tuesday,4
TXN_00038,2024-09-21,CUST_0032,Apple Store,electronics,15.42,0,9,Sep,Saturday,3
TXN_00039,2024-06-22,CUST_0076,Apple Store,groceries,997.62,1,6,Jun,Saturday,2
TXN_00040,2024-02-06,CUST_0008,Apple Store,electronics,87.01,0,2,Feb,Tuesday,1
TXN_00041,2024-01-17,CUST_0010,McDonald's,restaurant,19.52,0,1,Jan,Wednesday,1
TXN_00042,2024-05-22,CUST_0028,McDonald's,travel,102.53,0,5,May,Wednesday,2
TXN_00043,2024-10-19,CUST_0032,Best Buy,ATM_withdrawal,5.25,0,10,Oct,Saturday,4
TXN_00044,2024-04-07,CUST_0085,Marriott Hotels,transfer,360.06,0,4,Apr,Sunday,2
TXN_00045,2024-08-04,CUST_0094,Amazon,electronics,44.92,0,8,Aug,Sunday,3
TXN_00046,2024-02-01,CUST_0044,Walmart,restaurant,162.94,0,2,Feb,Thursday,1
TXN_00047,2024-04-08,CUST_0058,Delta Airlines,ATM_withdrawal,56.03,0,4,Apr,Monday,2
TXN_00048,2024-04-03,CUST_0032,Walmart,online_shopping,110.12,0,4,Apr,Wednesday,2
TXN_00049,2024-10-08,CUST_0084,McDonald's,groceries,118.68,0,10,Oct,Tuesday,4
TXN_00050,2024-02-17,CUST_0031,Delta Airlines,ATM_withdrawal,30.66,0,2,Feb,Saturday,1
TXN_00051,2024-09-05,CUST_0052,Amazon,travel,523.92,0,9,Sep,Thursday,3
TXN_00052,2024-07-13,CUST_0059,Whole Foods,ATM_withdrawal,1108.48,1,7,Jul,Saturday,3
TXN_00053,2024-12-22,CUST_0072,Best Buy,travel,420.76,0,12,Dec,Sunday,4
TXN_00054,2024-04-07,CUST_0008,Uber,groceries,337.82,0,4,Apr,Sunday,2
TXN_00055,2024-06-09,CUST_0075,Best Buy,travel,136.66,0,6,Jun,Sunday,2
TXN_00056,2024-01-30,CUST_0011,Delta Airlines,electronics,382.42,0,1,Jan,Tuesday,1
TXN_00057,2024-10-31,CUST_0031,Marriott Hotels,electronics,13.9,0,10,Oct,Thursday,4
TXN_00058,2024-10-18,CUST_0077,Amazon,electronics,32.72,0,10,Oct,Friday,4
TXN_00059,2024-08-02,CUST_0073,McDonald's,transfer,6.94,0,8,Aug,Friday,3
TXN_00060,2024-05-13,CUST_0092,CVS Pharmacy,restaurant,59.03,0,5,May,Monday,2
TXN_00061,2024-05-15,CUST_0086,Whole Foods,online_shopping,73.82,0,5,May,Wednesday,2
TXN_00062,2024-06-10,CUST_0010,Amazon,online_shopping,47.48,0,6,Jun,Monday,2
TXN_00063,2024-11-14,CUST_0013,Walmart,restaurant,264.68,0,11,Nov,Thursday,4
TXN_00064,2024-09-16,CUST_0045,Walmart,restaurant,66.18,0,9,Sep,Monday,3
TXN_00065,2024-07-08,CUST_0057,McDonald's,healthcare,49.47,0,7,Jul,Monday,3
TXN_00066,2024-11-09,CUST_0084,McDonald's,groceries,117.36,0,11,Nov,Saturday,4
TXN_00067,2024-12-07,CUST_0039,Walmart,travel,22.78,0,12,Dec,Saturday,4
TXN_00068,2024-05-15,CUST_0014,McDonald's,travel,243.07,0,5,May,Wednesday,2
TXN_00069,2024-05-19,CUST_0027,CVS Pharmacy,restaurant,11.62,0,5,May,Sunday,2
TXN_00070,2024-12-17,CUST_0034,McDonald's,online_shopping,650.12,0,12,Dec,Tuesday,4
TXN_00071,2024-05-08,CUST_0007,Walmart,ATM_withdrawal,221.92,0,5,May,Wednesday,2
TXN_00072,2024-05-21,CUST_0043,Delta Airlines,healthcare,33.23,0,5,May,Tuesday,2
TXN_00073,2024-03-23,CUST_0071,Marriott Hotels,groceries,0.83,0,3,Mar,Saturday,1
TXN_00074,2024-02-27,CUST_0089,Delta Airlines,groceries,253.48,0,2,Feb,Tuesday,1
TXN_00075,2024-07-08,CUST_0019,Marriott Hotels,travel,184.06,0,7,Jul,Monday,3
TXN_00076,2024-01-22,CUST_0006,CVS Pharmacy,restaurant,195.85,0,1,Jan,Monday,1
TXN_00077,2024-12-15,CUST_0014,CVS Pharmacy,ATM_withdrawal,221.28,0,12,Dec,Sunday,4
TXN_00078,2024-11-13,CUST_0031,Delta Airlines,travel,11.54,0,11,Nov,Wednesday,4
TXN_00079,2024-07-30,CUST_0043,Marriott Hotels,restaurant,444.94,1,7,Jul,Tuesday,3
TXN_00080,2024-05-16,CUST_0090,Walmart,ATM_withdrawal,18.47,0,5,May,Thursday,2
TXN_00081,2024-01-20,CUST_0029,Apple Store,online_shopping,298.28,0,1,Jan,Saturday,1
TXN_00082,2024-06-28,CUST_0030,Apple Store,groceries,146.45,0,6,Jun,Friday,2
TXN_00083,2024-12-03,CUST_0043,Whole Foods,electronics,60.27,0,12,Dec,Tuesday,4
TXN_00084,2024-05-22,CUST_0066,Marriott Hotels,transfer,9.85,0,5,May,Wednesday,2
TXN_00085,2024-01-15,CUST_0034,Delta Airlines,healthcare,55.87,0,1,Jan,Monday,1
TXN_00086,2024-01-20,CUST_0056,CVS Pharmacy,transfer,59.0,0,1,Jan,Saturday,1
TXN_00087,2024-08-11,CUST_0066,Walmart,ATM_withdrawal,196.18,0,8,Aug,Sunday,3
TXN_00088,2024-10-22,CUST_0006,Marriott Hotels,groceries,152.23,0,10,Oct,Tuesday,4
TXN_00089,2024-09-23,CUST_0069,Apple Store,transfer,327.34,0,9,Sep,Monday,3
TXN_00090,2024-08-08,CUST_0086,CVS Pharmacy,transfer,95.86,0,8,Aug,Thursday,3
TXN_00091,2024-12-05,CUST_0093,Whole Foods,healthcare,19.11,0,12,Dec,Thursday,4
TXN_00092,2024-12-07,CUST_0052,Whole Foods,travel,187.37,0,12,Dec,Saturday,4
TXN_00093,2024-04-08,CUST_0049,Delta Airlines,healthcare,214.56,0,4,Apr,Monday,2
TXN_00094,2024-07-26,CUST_0001,Whole Foods,healthcare,123.58,0,7,Jul,Friday,3
TXN_00095,2024-04-17,CUST_0075,Uber,transfer,221.08,0,4,Apr,Wednesday,2
TXN_00096,2024-08-26,CUST_0087,Apple Store,online_shopping,102.12,0,8,Aug,Monday,3
TXN_00097,2024-03-27,CUST_0037,McDonald's,transfer,110.95,0,3,Mar,Wednesday,1
TXN_00098,2024-02-17,CUST_0097,Apple Store,healthcare,83.67,0,2,Feb,Saturday,1
TXN_00099,2024-04-25,CUST_0019,Amazon,groceries,3.86,0,4,Apr,Thursday,2
TXN_00100,2024-05-05,CUST_0079,Walmart,online_shopping,17.13,0,5,May,Sunday,2
TXN_00101,2024-07-31,CUST_0074,Apple Store,ATM_withdrawal,4.79,0,7,Jul,Wednesday,3
TXN_00102,2024-09-10,CUST_0019,Amazon,electronics,151.76,0,9,Sep,Tuesday,3
TXN_00103,2024-08-05,CUST_0090,McDonald's,online_shopping,56.61,0,8,Aug,Monday,3
TXN_00104,2024-01-26,CUST_0016,Best Buy,travel,106.57,0,1,Jan,Friday,1
TXN_00105,2024-08-25,CUST_0072,Uber,transfer,357.19,0,8,Aug,Sunday,3
TXN_00106,2024-08-14,CUST_0093,McDonald's,ATM_withdrawal,43.01,0,8,Aug,Wednesday,3
TXN_00107,2024-10-07,CUST_0021,Best Buy,online_shopping,79.24,0,10,Oct,Monday,4
TXN_00108,2024-05-12,CUST_0082,Whole Foods,online_shopping,211.31,0,5,May,Sunday,2
TXN_00109,2024-11-16,CUST_0057,Walmart,healthcare,38.97,0,11,Nov,Saturday,4
TXN_00110,2024-04-30,CUST_0041,McDonald's,electronics,12.02,0,4,Apr,Tuesday,2
TXN_00111,2024-03-11,CUST_0050,Delta Airlines,restaurant,51.32,0,3,Mar,Monday,1
TXN_00112,2024-02-02,CUST_0043,McDonald's,online_shopping,26.37,0,2,Feb,Friday,1
TXN_00113,2024-07-31,CUST_0054,Marriott Hotels,groceries,398.24,0,7,Jul,Wednesday,3
TXN_00114,2024-10-21,CUST_0001,CVS Pharmacy,healthcare,247.63,0,10,Oct,Monday,4
TXN_00115,2024-07-18,CUST_0054,McDonald's,restaurant,150.52,0,7,Jul,Thursday,3
TXN_00116,2024-09-06,CUST_0056,Best Buy,groceries,307.73,0,9,Sep,Friday,3
TXN_00117,2024-07-18,CUST_0087,Marriott Hotels,travel,244.2,0,7,Jul,Thursday,3
TXN_00118,2024-08-27,CUST_0080,McDonald's,groceries,30.97,0,8,Aug,Tuesday,3
TXN_00119,2024-07-20,CUST_0085,Amazon,electronics,334.62,0,7,Jul,Saturday,3
TXN_00120,2024-11-25,CUST_0060,Delta Airlines,groceries,116.26,0,11,Nov,Monday,4
TXN_00121,2024-05-13,CUST_0028,Best Buy,transfer,247.1,0,5,May,Monday,2
TXN_00122,2024-06-21,CUST_0049,Whole Foods,ATM_withdrawal,339.64,0,6,Jun,Friday,2
TXN_00123,2024-05-09,CUST_0061,Amazon,groceries,57.41,0,5,May,Thursday,2
TXN_00124,2024-06-28,CUST_0009,Amazon,groceries,17.49,0,6,Jun,Friday,2
TXN_00125,2024-05-06,CUST_0003,Uber,travel,38.8,0,5,May,Monday,2
TXN_00126,2024-05-02,CUST_0086,Walmart,restaurant,83.56,0,5,May,Thursday,2
TXN_00127,2024-08-26,CUST_0099,CVS Pharmacy,travel,255.57,0,8,Aug,Monday,3
TXN_00128,2024-11-06,CUST_0096,Walmart,travel,295.7,0,11,Nov,Wednesday,4
TXN_00129,2024-06-08,CUST_0004,Whole Foods,ATM_withdrawal,1.05,0,6,Jun,Saturday,2
TXN_00130,2024-07-22,CUST_0026,Walmart,restaurant,107.23,0,7,Jul,Monday,3
TXN_00131,2024-02-22,CUST_0039,Uber,electronics,81.04,0,2,Feb,Thursday,1
TXN_00132,2024-10-16,CUST_0045,McDonald's,ATM_withdrawal,37.68,0,10,Oct,Wednesday,4
TXN_00133,2024-12-04,CUST_0065,CVS Pharmacy,groceries,19.15,0,12,Dec,Wednesday,4
TXN_00134,2024-08-03,CUST_0014,Marriott Hotels,transfer,61.79,0,8,Aug,Saturday,3
TXN_00135,2024-11-21,CUST_0059,Delta Airlines,ATM_withdrawal,429.47,0,11,Nov,Thursday,4
TXN_00136,2024-03-31,CUST_0084,Whole Foods,online_shopping,58.56,0,3,Mar,Sunday,1
TXN_00137,2024-08-26,CUST_0094,Uber,healthcare,109.72,0,8,Aug,Monday,3
TXN_00138,2024-06-14,CUST_0012,Whole Foods,online_shopping,182.11,0,6,Jun,Friday,2
TXN_00139,2024-05-04,CUST_0073,Uber,ATM_withdrawal,67.8,0,5,May,Saturday,2
TXN_00140,2024-06-21,CUST_0024,Best Buy,restaurant,3882.53,1,6,Jun,Friday,2
TXN_00141,2024-06-30,CUST_0044,Whole Foods,healthcare,492.3,0,6,Jun,Sunday,2
TXN_00142,2024-10-11,CUST_0011,Apple Store,ATM_withdrawal,336.78,1,10,Oct,Friday,4
TXN_00143,2024-09-07,CUST_0031,Best Buy,online_shopping,103.15,0,9,Sep,Saturday,3
TXN_00144,2024-08-17,CUST_0012,Whole Foods,restaurant,53.69,0,8,Aug,Saturday,3
TXN_00145,2024-07-26,CUST_0040,Uber,transfer,50.29,0,7,Jul,Friday,3
TXN_00146,2024-08-30,CUST_0045,Marriott Hotels,transfer,5.64,0,8,Aug,Friday,3
TXN_00147,2024-06-29,CUST_0035,Whole Foods,healthcare,141.07,0,6,Jun,Saturday,2
TXN_00148,2024-04-28,CUST_0025,CVS Pharmacy,electronics,104.78,0,4,Apr,Sunday,2
TXN_00149,2024-10-01,CUST_0089,Delta Airlines,restaurant,7.93,0,10,Oct,Tuesday,4
TXN_00150,2024-04-20,CUST_0036,Uber,healthcare,48.99,0,4,Apr,Saturday,2
TXN_00151,2024-02-21,CUST_0038,Apple Store,transfer,358.33,0,2,Feb,Wednesday,1
TXN_00152,2024-04-01,CUST_0091,McDonald's,travel,41.08,0,4,Apr,Monday,2
TXN_00153,2024-05-20,CUST_0007,McDonald's,healthcare,23.48,0,5,May,Monday,2
TXN_00154,2024-12-23,CUST_0082,Best Buy,electronics,100.84,0,12,Dec,Monday,4
TXN_00155,2024-01-07,CUST_0061,Best Buy,online_shopping,636.61,0,1,Jan,Sunday,1
TXN_00156,2024-06-23,CUST_0007,Whole Foods,online_shopping,41.57,0,6,Jun,Sunday,2
TXN_00157,2024-02-28,CUST_0052,Best Buy,electronics,167.27,0,2,Feb,Wednesday,1
